,off_code,offtype_name
0,2804,Possession of stolen property
1,2804,Possession of a financial device
2,2901,Damaged business property
3,2902,Criminal mischief to private property
4,2903,Criminal mischief to public property
5,2999,Criminal mischief - other
6,2999,Criminal mischief to a motor vehicle
7,2999,Criminal mischief - graffiti
8,3501,Manufacture of a hallucinogenic drug
9,3503,Selling a hallucinogenic drug
10,3504,Possession of a hallucinogenic drug
11,3510,Selling heroin
12,3512,Possession of heroin
13,3520,Selling opium or an opium derivative
14,3522,Possession of opium or an opium derivative
15,3530,Selling cocaine
16,3532,Possession of cocaine
17,3540,Selling a synthetic narcotic drug
18,3542,Possession of a synthetic narcotic drug
19,3550,Possession of drug paraphernalia
20,3560,Selling marijuana
21,3562,Possession of marijuana
22,3563,Cultivation of marijuana
23,3570,Manufacture of methampetamine
24,3571,Selling methampetamine
25,3572,Possession of methampetamine
26,3580,Manufacture of a barbiturate
27,3581,Selling a barbiturate
28,3582,Possession of a barbiturate
29,3599,Other dangerous drugs - PCS
30,3599,Manufacture or sell other dangerous drugs
31,3601,Fondling of an adult
32,3605,Indecent exposure
33,3607,Incest with an adult
34,3611,Window Peeping
35,3612,Failure to register as a sex offender
36,3613,Sex offender registration violation
37,3615,Indecent exposure to an adult
38,3699,Sex offense - other
39,3700,Possession of obscene material
40,3701,Manufacture of obscene material
41,3799,Other obscenity crime
42,3804,Bigamy
43,3902,Operating a gambling card game
44,3905,Operating a gambling dice game
45,3908,Possession of a gambling device
46,3911,Running a gambling operation
47,3915,Running an illegal lottery
48,3919,Tampering with sports
49,3990,Gambling - betting or wagering
50,3991,Gambling - gaming operation
51,3999,Illegal gambling
52,4001,Keeping a house of prostitution
53,4002,"Procure for prostitution (trafficking, operating a bordelo)"
54,4002,Pimping for prostitution
55,4004,Engaging in prostitution
56,4004,Prostitution
57,4099,Aiding the act of prostitution
58,4099,Display for prostitution
59,4101,Manufacture of liquor
60,4102,Illegal sale of liquor
61,4104,Illegal possession of liquor
62,4105,Liquor law violation
63,4199,Liquor law violation - other
64,4200,Public intoxication
65,4801,Resisting arrest
66,4802,Obstruction of a criminal investigation
67,4803,Giving false information to police
68,4803,Making a false report to police
69,4807,Refusing to aid an officer
70,4812,Failure to report abuse
71,4813,Failure to obey a lawful order by police
72,4899,Obstructing police
73,4901,Escape of a prisoner
74,4903,Aiding the escape of a prisoner
75,4999,Escape or flight
76,5006,Intimidation of a witness
